country;continent;HDGroup;InequalityIncome2010;InequalityIncome2011;InequalityIncome2012;InequalityIncome2013;InequalityIncome2014;InequalityIncome2015;InequalityIncome2016;InequalityIncome2017;InequalityIncome2018;InequalityIncome2019;InequalityIncome2020;InequalityIncome2021
Ethiopia;Africa;Low;9,05791;9,49739;9,49739;9,49739;9,49739;9,49739;13,3515;13,3515;13,3515;12,07582;12,07582;12,07582
Finland;Europe;Very High;11,30984;10,77941;10,77818;10,56616;10,38763;10,01719;10,50979;10,43909;10,33787;10,33787;10,48338;10,48338
Fiji;Oceania;High;22,6;22,6;22,6;22,6;;;;;;;;
France;Europe;Very High;13,25456;14,17367;13,94993;13,46136;13,65268;13,65268;13,58492;14,3716;13,36567;13,36567;13,91798;13,91798
Micronesia;Oceania;Medium;;;;26,38098943;26,38098943;26,38098943;26,38098943;26,38098943;26,38098943;26,38098943;26,38098943;26,38098943
Gabon;Africa;High;;;20,4113;20,4113;20,4113;20,4113;20,4113;21,2138981;21,2138981;21,2138981;21,2138981;21,2138981
United Kingdom;Europe;Very High;16,92925;18,76843;17,81109;16,20068;16,32592;16,32592;17,09783;16,74895;17,96959;17,96959;17,96959;17,96959
Georgia;Asia;Very High;32,13;32,13;32,13;25,95;25,95;25,95;24,85;24,85;24,85;24,85;24,85;24,85
Ghana;Africa;Medium;27,22482;22,40757;22,40757;22,40757;25,31453;25,31453;25,31453;24,14249;24,14249;24,14249;24,14249;24,14249
Guinea;Africa;Low;;;17,05626;17,05626;17,05626;17,05626;17,05626;17,05626;17,83777;17,83777;17,83777;17,83777
Gambia;Africa;Low;26,928;26,928;26,928;27,076;27,076;27,076;27,076;27,076;17,46726;17,46726;17,46726;17,46726
Guinea-Bissau;Africa;Low;32,5;32,5;32,5;32,5;32,5;32,5;37,9;37,9;37,9;37,9;37,9;37,9
Equatorial Guinea;Africa;Medium;;;;;;;;;;;;
Greece;Europe;Very High;18,07374;18,07374;20,64323;21,08044;20,69059;20,80284;21,03849;19,47699;17,44667;17,44667;16,63777;16,63777
Grenada;America;High;;;;;;;;;;;;
Guatemala;America;Medium;39,18;44,16;44,16;44,16;29,56;29,56;29,56;29,56;29,56;29,56;29,56;29,56
Guyana;America;High;24,44892;24,44892;24,44892;24,44892;25,1;25,1;25,1;25,1;25,1;25,1;25,1;25,1
Hong Kong;Asia;Very High;;25,56271964;25,56271964;25,56271964;25,56271964;25,56271964;25,56271964;25,56271964;25,56271964;25,56271964;25,56271964;25,56271964
Honduras;America;Medium;40,712028;40,756529;41,696769;36,962278;36,258039;35,659413;37,548218;36,45059;36,194995;34,911526;34,911526;34,911526
Croatia;Europe;Very High;;17,56036;17,24145;17,60962;17,36734;17,36734;16,8815;15,18866;14,37065;14,37065;12,9537;12,9537
Haiti;America;Low;47,863;47,863;48,39911;48,39911;48,39911;48,39911;50,43867;50,43867;50,43867;50,43867;50,43867;50,43867
Hungary;Europe;Very High;12,21144;13,11032;12,61731;14,48154;14,58424;15,2567;14,73987;16,05152;13,93919;13,93919;12,29405;12,29405
Indonesia;Asia;High;;;17,2563;17,2563;17,2563;17,2563;17,2563;20,11727;20,11727;20,11727;20,11727;20,11727
India;Asia;Medium;19,16;19,16;19,16;19,16;19,16;19,369;19,369;19,369;19,369;19,369;19,369;19,369
Ireland;Europe;Very High;13,79216;13,79216;13,79216;16,32331;18,11922;18,11922;18,11922;14,70554;14,70554;14,70554;12,26296;12,26296
Iran;Asia;High;;;;19,71428189;19,71428189;19,71428189;19,71428189;19,71428189;19,71428189;19,71428189;19,71428189;19,71428189
Iraq;Asia;Medium;;16,14712;16,14712;16,14712;16,14712;16,14712;16,14712;16,14712;12,67895;12,67895;12,67895;12,67895
Iceland;Europe;Very High;13,23446;11,61685;12,21693;11,14863;10,17085;11,67254;9,80916;9,80916;9,51407;9,51407;9,51407;9,51407
Israel;Asia;Very High;24,997;24,997;24,546;24,546;22,984;22,984;23,689;23,689;23,134;23,134;23,134;23,134
